Country,ISO3,LocationCode,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,TotalPop_thousands,Under40_thousands,Under40_pct,Under20_thousands,Under20_pct,Age0to4_thousands,Age0to4_pct,Over65_thousands,Over65_pct
Sao Tome and Principe,STP,678,2025,31.68,29.24,29.07,27.67,23.35,17.64,14.44,13.17,13.18,11.08,8.45,6.55,5.27,3.74,2.51,1.51,1.02,0.53,0.14,0.02,0.0,240.25,186.25,77.52,117.66,48.97,31.68,13.19,9.48,3.94
Samoa,WSM,882,2025,26.87,28.77,27.83,23.07,16.98,13.69,12.39,10.94,10.19,9.7,9.66,8.69,7.2,5.58,3.61,2.16,1.21,0.55,0.16,0.04,0.0,219.31,160.55,73.21,106.54,48.58,26.87,12.25,13.31,6.07
Curaçao,CUW,531,2025,7.0,8.83,11.26,10.49,12.21,15.14,15.99,12.46,11.54,10.99,12.01,12.5,12.99,11.14,8.71,6.32,3.66,1.62,0.53,0.1,0.01,185.49,93.37,50.34,37.58,20.26,7.0,3.77,32.09,17.3
Saint Lucia,LCA,662,2025,10.02,10.43,10.62,12.25,13.39,15.32,16.14,14.61,13.71,12.46,11.98,11.45,9.81,7.17,4.73,3.16,1.82,0.76,0.26,0.04,0.0,180.15,102.78,57.05,43.32,24.05,10.02,5.56,17.95,9.96
Guam,GUM,316,2025,14.48,14.92,14.32,12.27,11.43,11.46,11.17,9.83,9.21,8.95,9.75,9.77,9.29,7.69,6.05,4.28,2.18,1.26,0.46,0.16,0.05,169.0,99.89,59.1,55.99,33.13,14.48,8.57,22.13,13.1
Kiribati,KIR,296,2025,16.21,15.65,15.04,12.97,10.71,11.52,10.64,9.33,8.01,6.13,5.03,5.06,4.21,2.64,1.62,0.98,0.52,0.17,0.04,0.0,0,136.49,102.08,74.79,59.88,43.87,16.21,11.88,5.97,4.38
Seychelles,SYC,690,2025,8.94,8.79,8.52,8.23,8.54,10.47,12.24,12.2,11.14,9.84,8.54,7.43,6.31,4.93,2.9,1.83,1.06,0.58,0.25,0.06,0.01,132.78,77.92,58.68,34.47,25.96,8.94,6.73,11.61,8.75
Grenada,GRD,308,2025,6.77,7.07,8.46,8.64,8.15,9.01,9.73,10.81,9.02,6.47,6.09,5.97,6.3,5.3,3.61,2.42,1.58,1.13,0.56,0.18,0.03,117.3,68.64,58.51,30.94,26.38,6.77,5.77,14.81,12.63
Micronesia (Fed. States of),FSM,583,2025,12.06,11.81,11.93,11.7,10.8,10.24,8.76,6.47,5.45,4.83,4.52,4.26,3.81,3.16,2.13,1.08,0.45,0.17,0.04,0.0,0,113.68,83.78,73.69,47.5,41.78,12.06,10.61,7.03,6.18
Aruba,ABW,533,2025,5.14,5.88,6.85,6.95,6.93,5.8,6.39,6.75,6.82,7.17,7.59,8.24,8.43,7.33,5.65,3.57,1.8,0.69,0.14,0.01,0,108.15,50.69,46.87,24.81,22.94,5.14,4.75,19.21,17.76
